date,store_id,store_type,assortment,category,product,quantity,promo,promo2,customers,competition_distance
2025-12-01,1,a,c,Electronics,Laptop,84,0,0,146,1200.5
2025-12-01,1,a,c,Electronics,Smartphone,153,0,0,146,1200.5
2025-12-01,1,a,c,Electronics,Headphones,221,0,0,146,1200.5
2025-12-01,1,a,c,Clothing,T-Shirt,348,0,0,146,1200.5
2025-12-01,1,a,c,Clothing,Jeans,260,1,0,146,1200.5
2025-12-01,1,a,c,Clothing,Jacket,150,1,0,146,1200.5
2025-12-01,1,a,c,Food,Bread,432,0,0,146,1200.5
2025-12-01,1,a,c,Food,Milk,553,0,0,146,1200.5
2025-12-01,1,a,c,Food,Eggs,379,0,0,146,1200.5
2025-12-02,1,a,c,Electronics,Laptop,110,1,0,164,1200.5
2025-12-02,1,a,c,Electronics,Smartphone,173,1,0,164,1200.5
2025-12-02,1,a,c,Electronics,Headphones,238,0,0,164,1200.5
2025-12-02,1,a,c,Clothing,T-Shirt,338,0,0,164,1200.5
2025-12-02,1,a,c,Clothing,Jeans,214,0,0,164,1200.5
2025-12-02,1,a,c,Clothing,Jacket,147,1,0,164,1200.5
2025-12-02,1,a,c,Food,Bread,526,1,0,164,1200.5
2025-12-02,1,a,c,Food,Milk,590,0,0,164,1200.5
2025-12-02,1,a,c,Food,Eggs,404,0,0,164,1200.5
2025-12-03,1,a,c,Electronics,Laptop,102,1,0,160,1200.5
2025-12-03,1,a,c,Electronics,Smartphone,153,0,0,160,1200.5
2025-12-03,1,a,c,Electronics,Headphones,224,0,0,160,1200.5
2025-12-03,1,a,c,Clothing,T-Shirt,337,0,0,160,1200.5
2025-12-03,1,a,c,Clothing,Jeans,207,0,0,160,1200.5
2025-12-03,1,a,c,Clothing,Jacket,146,1,0,160,1200.5
2025-12-03,1,a,c,Food,Bread,615,1,0,160,1200.5
2025-12-03,1,a,c,Food,Milk,529,0,0,160,1200.5
2025-12-03,1,a,c,Food,Eggs,439,0,0,160,1200.5
2025-12-04,1,a,c,Electronics,Laptop,101,1,0,154,1200.5
2025-12-04,1,a,c,Electronics,Smartphone,174,1,0,154,1200.5
2025-12-04,1,a,c,Electronics,Headphones,229,0,0,154,1200.5
2025-12-04,1,a,c,Clothing,T-Shirt,350,0,0,154,1200.5
2025-12-04,1,a,c,Clothing,Jeans,254,1,0,154,1200.5
2025-12-04,1,a,c,Clothing,Jacket,153,1,0,154,1200.5
2025-12-04,1,a,c,Food,Bread,632,1,0,154,1200.5
2025-12-04,1,a,c,Food,Milk,507,0,0,154,1200.5
2025-12-04,1,a,c,Food,Eggs,536,1,0,154,1200.5
2025-12-05,1,a,c,Electronics,Laptop,95,0,0,156,1200.5
2025-12-05,1,a,c,Electronics,Smartphone,163,0,0,156,1200.5
2025-12-05,1,a,c,Electronics,Headphones,260,0,0,156,1200.5
2025-12-05,1,a,c,Clothing,T-Shirt,356,0,0,156,1200.5
2025-12-05,1,a,c,Clothing,Jeans,245,1,0,156,1200.5
2025-12-05,1,a,c,Clothing,Jacket,124,0,0,156,1200.5
2025-12-05,1,a,c,Food,Bread,458,0,0,156,1200.5
2025-12-05,1,a,c,Food,Milk,527,0,0,156,1200.5
2025-12-05,1,a,c,Food,Eggs,449,0,0,156,1200.5
2025-12-06,1,a,c,Electronics,Laptop,109,0,0,174,1200.5
2025-12-06,1,a,c,Electronics,Smartphone,173,0,0,174,1200.5
2025-12-06,1,a,c,Electronics,Headphones,250,0,0,174,1200.5
2025-12-06,1,a,c,Clothing,T-Shirt,450,1,0,174,1200.5
2025-12-06,1,a,c,Clothing,Jeans,233,0,0,174,1200.5
2025-12-06,1,a,c,Clothing,Jacket,149,0,0,174,1200.5
2025-12-06,1,a,c,Food,Bread,651,1,0,174,1200.5
2025-12-06,1,a,c,Food,Milk,587,0,0,174,1200.5
2025-12-06,1,a,c,Food,Eggs,555,1,0,174,1200.5
2025-12-07,1,a,c,Electronics,Laptop,106,0,0,191,1200.5
2025-12-07,1,a,c,Electronics,Smartphone,191,1,0,191,1200.5
2025-12-07,1,a,c,Electronics,Headphones,260,0,0,191,1200.5
2025-12-07,1,a,c,Clothing,T-Shirt,446,0,0,191,1200.5
2025-12-07,1,a,c,Clothing,Jeans,223,0,0,191,1200.5
2025-12-07,1,a,c,Clothing,Jacket,149,0,0,191,1200.5
2025-12-07,1,a,c,Food,Bread,682,1,0,191,1200.5
2025-12-07,1,a,c,Food,Milk,723,1,0,191,1200.5
2025-12-07,1,a,c,Food,Eggs,451,0,0,191,1200.5
2025-12-08,1,a,c,Electronics,Laptop,85,0,0,166,1200.5
2025-12-08,1,a,c,Electronics,Smartphone,174,1,0,166,1200.5
2025-12-08,1,a,c,Electronics,Headphones,232,0,0,166,1200.5
2025-12-08,1,a,c,Clothing,T-Shirt,375,0,0,166,1200.5
2025-12-08,1,a,c,Clothing,Jeans,230,0,0,166,1200.5
2025-12-08,1,a,c,Clothing,Jacket,114,0,0,166,1200.5
2025-12-08,1,a,c,Food,Bread,461,0,0,166,1200.5
2025-12-08,1,a,c,Food,Milk,588,1,0,166,1200.5
2025-12-08,1,a,c,Food,Eggs,420,0,0,166,1200.5
2025-12-09,1,a,c,Electronics,Laptop,105,1,0,161,1200.5
2025-12-09,1,a,c,Electronics,Smartphone,155,0,0,161,1200.5
2025-12-09,1,a,c,Electronics,Headphones,237,0,0,161,1200.5
2025-12-09,1,a,c,Clothing,T-Shirt,367,0,0,161,1200.5
2025-12-09,1,a,c,Clothing,Jeans,245,1,0,161,1200.5
2025-12-09,1,a,c,Clothing,Jacket,153,1,0,161,1200.5
2025-12-09,1,a,c,Food,Bread,526,0,0,161,1200.5
2025-12-09,1,a,c,Food,Milk,574,0,0,161,1200.5
2025-12-09,1,a,c,Food,Eggs,391,0,0,161,1200.5
2025-12-10,1,a,c,Electronics,Laptop,98,1,0,166,1200.5
2025-12-10,1,a,c,Electronics,Smartphone,155,0,0,166,1200.5
2025-12-10,1,a,c,Electronics,Headphones,289,1,0,166,1200.5
2025-12-10,1,a,c,Clothing,T-Shirt,445,1,0,166,1200.5
2025-12-10,1,a,c,Clothing,Jeans,262,1,0,166,1200.5
2025-12-10,1,a,c,Clothing,Jacket,130,0,0,166,1200.5
2025-12-10,1,a,c,Food,Bread,558,1,0,166,1200.5
2025-12-10,1,a,c,Food,Milk,703,1,0,166,1200.5
2025-12-10,1,a,c,Food,Eggs,400,0,0,166,1200.5
2025-12-11,1,a,c,Electronics,Laptop,118,1,0,167,1200.5
2025-12-11,1,a,c,Electronics,Smartphone,143,0,0,167,1200.5
2025-12-11,1,a,c,Electronics,Headphones,262,0,0,167,1200.5
2025-12-11,1,a,c,Clothing,T-Shirt,388,0,0,167,1200.5
2025-12-11,1,a,c,Clothing,Jeans,241,1,0,167,1200.5
2025-12-11,1,a,c,Clothing,Jacket,128,0,0,167,1200.5
2025-12-11,1,a,c,Food,Bread,471,0,0,167,1200.5
2025-12-11,1,a,c,Food,Milk,578,0,0,167,1200.5
2025-12-11,1,a,c,Food,Eggs,444,0,0,167,1200.5
2025-12-12,1,a,c,Electronics,Laptop,81,0,0,147,1200.5
2025-12-12,1,a,c,Electronics,Smartphone,186,1,0,147,1200.5
2025-12-12,1,a,c,Electronics,Headphones,268,1,0,147,1200.5
2025-12-12,1,a,c,Clothing,T-Shirt,374,0,0,147,1200.5
2025-12-12,1,a,c,Clothing,Jeans,198,0,0,147,1200.5
2025-12-12,1,a,c,Clothing,Jacket,114,0,0,147,1200.5
2025-12-12,1,a,c,Food,Bread,504,0,0,147,1200.5
2025-12-12,1,a,c,Food,Milk,578,0,0,147,1200.5
2025-12-12,1,a,c,Food,Eggs,426,0,0,147,1200.5
2025-12-13,1,a,c,Electronics,Laptop,106,0,0,181,1200.5
2025-12-13,1,a,c,Electronics,Smartphone,211,1,0,181,1200.5
2025-12-13,1,a,c,Electronics,Headphones,275,0,0,181,1200.5
2025-12-13,1,a,c,Clothing,T-Shirt,409,0,0,181,1200.5
2025-12-13,1,a,c,Clothing,Jeans,249,0,0,181,1200.5
2025-12-13,1,a,c,Clothing,Jacket,148,0,0,181,1200.5
2025-12-13,1,a,c,Food,Bread,662,1,0,181,1200.5
2025-12-13,1,a,c,Food,Milk,654,0,0,181,1200.5
2025-12-13,1,a,c,Food,Eggs,637,1,0,181,1200.5
2025-12-14,1,a,c,Electronics,Laptop,112,0,0,199,1200.5
2025-12-14,1,a,c,Electronics,Smartphone,156,0,0,199,1200.5
2025-12-14,1,a,c,Electronics,Headphones,272,0,0,199,1200.5
2025-12-14,1,a,c,Clothing,T-Shirt,452,0,0,199,1200.5
2025-12-14,1,a,c,Clothing,Jeans,232,0,0,199,1200.5
2025-12-14,1,a,c,Clothing,Jacket,148,0,0,199,1200.5
2025-12-14,1,a,c,Food,Bread,516,0,0,199,1200.5
2025-12-14,1,a,c,Food,Milk,675,0,0,199,1200.5
2025-12-14,1,a,c,Food,Eggs,490,0,0,199,1200.5
2025-12-15,1,a,c,Electronics,Laptop,112,1,0,163,1200.5
2025-12-15,1,a,c,Electronics,Smartphone,143,0,0,163,1200.5
2025-12-15,1,a,c,Electronics,Headphones,278,1,0,163,1200.5
2025-12-15,1,a,c,Clothing,T-Shirt,334,0,0,163,1200.5
2025-12-15,1,a,c,Clothing,Jeans,212,0,0,163,1200.5
2025-12-15,1,a,c,Clothing,Jacket,142,1,0,163,1200.5
2025-12-15,1,a,c,Food,Bread,589,1,0,163,1200.5
2025-12-15,1,a,c,Food,Milk,584,1,0,163,1200.5
2025-12-15,1,a,c,Food,Eggs,394,0,0,163,1200.5
2025-12-16,1,a,c,Electronics,Laptop,95,0,0,147,1200.5
2025-12-16,1,a,c,Electronics,Smartphone,145,0,0,147,1200.5
2025-12-16,1,a,c,Electronics,Headphones,221,0,0,147,1200.5
2025-12-16,1,a,c,Clothing,T-Shirt,327,0,0,147,1200.5
2025-12-16,1,a,c,Clothing,Jeans,212,0,0,147,1200.5
2025-12-16,1,a,c,Clothing,Jacket,147,1,0,147,1200.5
2025-12-16,1,a,c,Food,Bread,523,1,0,147,1200.5
2025-12-16,1,a,c,Food,Milk,525,0,0,147,1200.5
2025-12-16,1,a,c,Food,Eggs,506,1,0,147,1200.5
2025-12-17,1,a,c,Electronics,Laptop,118,1,0,160,1200.5
2025-12-17,1,a,c,Electronics,Smartphone,160,0,0,160,1200.5
2025-12-17,1,a,c,Electronics,Headphones,283,1,0,160,1200.5
2025-12-17,1,a,c,Clothing,T-Shirt,334,0,0,160,1200.5
2025-12-17,1,a,c,Clothing,Jeans,276,1,0,160,1200.5
2025-12-17,1,a,c,Clothing,Jacket,109,0,0,160,1200.5
2025-12-17,1,a,c,Food,Bread,474,0,0,160,1200.5
2025-12-17,1,a,c,Food,Milk,513,0,0,160,1200.5
2025-12-17,1,a,c,Food,Eggs,462,1,0,160,1200.5
2025-12-18,1,a,c,Electronics,Laptop,82,0,0,148,1200.5
2025-12-18,1,a,c,Electronics,Smartphone,148,0,0,148,1200.5
2025-12-18,1,a,c,Electronics,Headphones,265,1,0,148,1200.5
2025-12-18,1,a,c,Clothing,T-Shirt,470,1,0,148,1200.5
2025-12-18,1,a,c,Clothing,Jeans,211,0,0,148,1200.5
2025-12-18,1,a,c,Clothing,Jacket,118,0,0,148,1200.5
